"date","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","casi_da_sospetto_diagnostico","casi_da_screening","totale_casi","tamponi","casi_testati","mortalità","nuovi_tamponi","decreto_legge","dpcm1","dpcm2","dpcm3","dpcm4","dpcm5","dpcm6","dpcm7","dpcm8","dpcm9","pre_esodo","mado","esodo1","esodo2","esodo3"
2020-02-24,"ITA",0,"Italia",41.8719,12.5674,101,26,127,94,221,0,221,1,7,NA,NA,229,4324,NA,0.0305676855895196,0.0511100832562442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,"ITA",0,"Italia",41.8719,12.5674,114,35,150,162,311,90,93,1,10,NA,NA,322,8623,NA,0.031055900621118,0.0107851095906297,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,"ITA",0,"Italia",41.8719,12.5674,128,36,164,221,385,74,78,3,12,NA,NA,400,9587,NA,0.03,0.00813601752373005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,"ITA",0,"Italia",41.8719,12.5674,248,56,304,284,588,203,250,45,17,NA,NA,650,12014,NA,0.0261538461538462,0.0208090561012152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,"ITA",0,"Italia",41.8719,12.5674,345,64,409,412,821,233,238,46,21,NA,NA,888,15695,NA,0.0236486486486486,0.01516406498885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,"ITA",0,"Italia",41.8719,12.5674,401,105,506,543,1049,228,240,50,29,NA,NA,1128,18661,NA,0.025709219858156,0.012861047103585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,"ITA",0,"Italia",41.8719,12.5674,639,140,779,798,1577,528,566,83,34,NA,NA,1694,21127,NA,0.0200708382526564,0.0267903630425522,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,"ITA",0,"Italia",41.8719,12.5674,742,166,908,927,1835,258,342,149,52,NA,NA,2036,23345,NA,0.0255402750491159,0.0146498179481688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,"ITA",0,"Italia",41.8719,12.5674,1034,229,1263,1000,2263,428,466,160,79,NA,NA,2502,25856,NA,0.0315747402078337,0.018022896039604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,"ITA",0,"Italia",41.8719,12.5674,1346,295,1641,1065,2706,443,587,276,107,NA,NA,3089,29837,NA,0.0346390417610877,0.01967355967423,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-05,"ITA",0,"Italia",41.8719,12.5674,1790,351,2141,1155,3296,590,769,414,148,NA,NA,3858,32362,NA,0.0383618455158113,0.0237624374266115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,"ITA",0,"Italia",41.8719,12.5674,2394,462,2856,1060,3916,620,778,523,197,NA,NA,4636,36359,NA,0.0424935289042278,0.0213977282103468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,"ITA",0,"Italia",41.8719,12.5674,2651,567,3218,1843,5061,1145,1247,589,233,NA,NA,5883,42062,NA,0.0396056433792283,0.0296467119965765,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-08,"ITA",0,"Italia",41.8719,12.5674,3557,650,4207,2180,6387,1326,1492,622,366,NA,NA,7375,49937,NA,0.0496271186440678,0.0298776458337505,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-03-09,"ITA",0,"Italia",41.8719,12.5674,4316,733,5049,2936,7985,1598,1797,724,463,NA,NA,9172,53826,NA,0.0504797208896642,0.0333853528034779,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-03-10,"ITA",0,"Italia",41.8719,12.5674,5038,877,5915,2599,8514,529,977,1004,631,NA,NA,10149,60761,NA,0.0621736131638585,0.0160793930317144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,"ITA",0,"Italia",41.8719,12.5674,5838,1028,6866,3724,10590,2076,2313,1045,827,NA,NA,12462,73154,NA,0.0663617396886535,0.0316182300352681,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-12,"ITA",0,"Italia",41.8719,12.5674,6650,1153,7803,5036,12839,2249,2651,1258,1016,NA,NA,15113,86011,NA,0.0672268907563025,0.0308216390926742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,"ITA",0,"Italia",41.8719,12.5674,7426,1328,8754,6201,14955,2116,2547,1439,1266,NA,NA,17660,97488,NA,0.071687429218573,0.0261262924667651,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-03-14,"ITA",0,"Italia",41.8719,12.5674,8372,1518,9890,7860,17750,2795,3497,1966,1441,NA,NA,21157,109170,NA,0.0681098454412251,0.0320326096913071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,"ITA",0,"Italia",41.8719,12.5674,9663,1672,11335,9268,20603,2853,3590,2335,1809,NA,NA,24747,124899,NA,0.0730997696690508,0.0287432245254165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,"ITA",0,"Italia",41.8719,12.5674,11025,1851,12876,10197,23073,2470,3233,2749,2158,NA,NA,27980,137962,NA,0.0771265189421015,0.0234339890694539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,"ITA",0,"Italia",41.8719,12.5674,12894,2060,14954,11108,26062,2989,3526,2941,2503,NA,NA,31506,148657,NA,0.0794451850441186,0.0237190310580733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,"ITA",0,"Italia",41.8719,12.5674,14363,2257,16620,12090,28710,2648,4207,4025,2978,NA,NA,35713,165541,NA,0.0833870019320695,0.0254136437498867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,"ITA",0,"Italia",41.8719,12.5674,15757,2498,18255,14935,33190,4480,5322,4440,3405,NA,NA,41035,182777,NA,0.0829779456561472,0.0291174491320024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,"ITA",0,"Italia",41.8719,12.5674,16020,2655,18675,19185,37860,4670,5986,5129,4032,NA,NA,47021,206886,NA,0.0857489206950086,0.0289338089575902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,"ITA",0,"Italia",41.8719,12.5674,17708,2857,20565,22116,42681,4821,6557,6072,4825,NA,NA,53578,233222,NA,0.0900556198439658,0.0281148433681214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,"ITA",0,"Italia",41.8719,12.5674,19846,3009,22855,23783,46638,3957,5560,7024,5476,NA,NA,59138,258402,NA,0.0925969765632926,0.0215168613246027,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
